teid,branch_id,ercotDampsseId,from_bus,to_bus,ckt,default_status,default_status_source,in_service_date,retirement_date,DeviceType,match_status,in_service_date_source,retirement_date_source,dates_review_flag,status_review_flag,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed
322457,60111006.0,9532.0,L_ZORN__5_1Y,L_ZORN__1_1Z,2,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9939,Closed,1.0
329182,60110729.0,9317.0,TOCO_8,TOCO_1,1,Closed,dampsse_inservice,2017-05-31 16:39:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,multiple_confirmed_energization_events,clear_majority,Closed,1.0,Closed,1.0
420564,60112171.0,1046.0,BARROW8,BARROW3,T1,Closed,dampsse_inservice,2020-02-13 11:05:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9994,Closed,1.0
279570,60004518.0,2716.0,EDGEWOOD_8,EDGWD2_1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,1.0,Closed,1.0
118784,60111317.0,1199.0,BENBRK_SRA_8,BNBSW1_1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9929,Closed,1.0
834210,60110777.0,12997.0,FERRISSW_9,FERIS_1,1,Open,dampsse_inservice,2026-04-02 14:12:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Open,0.4159,Closed,1.0
835254,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
279628,60003366.0,,BLESSING4A,BLESSING7A,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9989,Closed,0.85
279750,60111607.0,4635.0,GENLEG1_01_5,LEG_LEG_G1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.9953,Closed,1.0
280280,60112104.0,6209.0,OECCS_CT22,OECCS_2_5,4,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.9566,Closed,1.0
