teid,old_branch_id,old_branch_name,old_op_eqcode,recommended_collapseid,new_branch_name,new_op_eqcode,confidence
185308,60005044,GILA_HIWAY_2,GILA_HIWAY_2_1,60034982,GILA_HIWAY_22,GILA_HIWAY_2_2,probable_renamed_duplicate
186600,60010965,SLPOD_RINGO,SLPOD_RINGO_1,60091191,16030_B,16030__B,probable_renamed_duplicate
186677,60008513,RINGO_STILES,RINGO_STILES_1,60091193,16035_A,16035__A,probable_renamed_duplicate
190009,60007831,WHTNY_XFMRT2,WHTNY_XFMRT2,60074327,WHTNY_XFMRT1,WHTNY_XFMRT1,probable_renamed_duplicate
190009,60011729,WHTNY_XFMRT1_L,WHTNY_XFMRT1_L,60074327,WHTNY_XFMRT1,WHTNY_XFMRT1,probable_renamed_duplicate
207862,60082194,FORCFB_TR-1001,FORCFB_TR-1001,60111811,FORMOSA_1001,FORMOSA_1001,probable_renamed_duplicate
207881,60082195,FORCFB_TR-1002,FORCFB_TR-1002,60111813,FORMOSA_1002,FORMOSA_1002,probable_renamed_duplicate
207889,60082196,FORCFB_TR-2001,FORCFB_TR-2001,60111810,FORMOSA_2001,FORMOSA_2001,probable_renamed_duplicate
207908,60082197,FORCFB_TR-2002,FORCFB_TR-2002,60111812,FORMOSA_2002,FORMOSA_2002,probable_renamed_duplicate
217805,60006908,REDFISH_MV1_T2,REDFISH_MV1_T2,60112574,REDFISH_MVT2,REDFISH_MVT2,probable_renamed_duplicate
220900,60006321,NAV_WSHACK_A,NAV_WSHACK__A,60012332,NAV_ASPIR_A,NAV_ASPIR__A,probable_renamed_duplicate
223507,60008265,PALMITO_PLM7TR1H,PALMITO_PLM7TR1H,60055300,PALMITO_PLM7TR1,PALMITO_PLM7TR1,probable_renamed_duplicate
223983,60071780,UVALDE_T1_L,UVALDE_T1_L,60111072,UVALDE_T1_H,UVALDE_T1_H,probable_renamed_duplicate
225795,60008577,EINSTEIN_ENS7TR1H,EINSTEIN_ENS7TR1H,60029972,EINSTEIN_ENS7TR1,EINSTEIN_ENS7TR1,probable_renamed_duplicate
226170,60003047,ANACACHO_ANA_T1,ANACACHO_ANA_T1,60112796,ANACACHO_T1,ANACACHO_T1,probable_renamed_duplicate
227602,60007611,TRINITY_T1_H,TRINITY_T1_H,60112417,TRINITY_T1,TRINITY_T1,probable_renamed_duplicate
228551,60007612,TRINITY_T2_H,TRINITY_T2_H,60112416,TRINITY_T2,TRINITY_T2,probable_renamed_duplicate
245811,60047646,MAGRUDER_138_69_1_L,MAGRUDER_138_69_1_L,60091390,MAGRUDER_138_69_3_L,MAGRUDER_138_69_3_L,probable_renamed_duplicate
245811,60091389,MAGRUDER_138_69_3_H,MAGRUDER_138_69_3_H,60091390,MAGRUDER_138_69_3_L,MAGRUDER_138_69_3_L,probable_renamed_duplicate
245811,60006031,MAGRUDER_138_69_1_H,MAGRUDER_138_69_1_H,60091390,MAGRUDER_138_69_3_L,MAGRUDER_138_69_3_L,probable_renamed_duplicate
255036,60039915,ILLN_138_69_AUTO1_L,ILLN_138_69_AUTO1_L,60110998,ILLN_138_69_AUTO1_H,ILLN_138_69_AUTO1_H,probable_renamed_duplicate
256181,60008269,DEERCR_ATH,DEERCR_ATH,60027706,DEERCR_ATL,DEERCR_ATL,probable_renamed_duplicate
257871,60047274,LYTLE2_138_69_1_L,LYTLE2_138_69_1_L,60111104,LYTLE2_138_69_1_H,LYTLE2_138_69_1_H,probable_renamed_duplicate
273492,60003818,CHOATE_HIGH,CHOATE_HIGH,60023299,CHOATE_LOW,CHOATE_LOW,probable_renamed_duplicate
274394,60013501,AEEC_0003_L,AEEC_0003_L,60112305,AEEC_0003,AEEC_0003,probable_renamed_duplicate
277295,60009159,COYCTP_PLEASN1,COYCTP_PLEASN1_1,60094241,COYCTP_PLEASN0,COYCTP_PLEASN0_1,probable_renamed_duplicate
277336,60006481,OCI_ALM1_MPXH,OCI_ALM1_MPXH,60112699,OCI_ALM1_MPX,OCI_ALM1_MPX,probable_renamed_duplicate
